timestamp,value
14/02/2014 14:27,51.846
14/02/2014 14:27,44.508
14/02/2014 14:27,41.244
14/02/2014 14:27,48.568
14/02/2014 14:27,46.714
14/02/2014 14:27,44.986
14/02/2014 14:27,49.108
14/02/2014 14:27,40.47
14/02/2014 14:27,53.404
14/02/2014 14:27,45.4
14/02/2014 14:27,43.216
14/02/2014 14:27,49.72
14/02/2014 14:27,46.37
14/02/2014 14:27,43.756
14/02/2014 14:27,47.582
14/02/2014 14:27,40.738
14/02/2014 14:27,51.216
14/02/2014 14:27,46.314
14/02/2014 14:27,45
14/02/2014 14:27,50.224
14/02/2014 14:27,48.096
14/02/2014 14:27,43.544
14/02/2014 14:27,48.85
14/02/2014 14:27,40.942
14/02/2014 14:27,52.586
14/02/2014 14:27,45.802
14/02/2014 14:27,43.122
14/02/2014 14:27,50.774
14/02/2014 14:27,46.262
14/02/2014 14:27,43.052
14/02/2014 14:27,50.718
14/02/2014 14:27,45.798
14/02/2014 14:27,46.55
14/02/2014 14:27,48.122
14/02/2014 14:27,40.23
14/02/2014 14:27,52.606
14/02/2014 14:27,44.652
14/02/2014 14:27,42.84
14/02/2014 14:27,49.272
14/02/2014 14:27,47.09
14/02/2014 14:27,45.452
14/02/2014 14:27,46.996
14/02/2014 14:27,43.194
14/02/2014 14:27,52.94
14/02/2014 14:27,47.212
14/02/2014 14:27,43.144
14/02/2014 14:27,50.658
14/02/2014 14:27,46.292
14/02/2014 14:27,45.164
14/02/2014 14:27,47.888
14/02/2014 14:27,41.852
14/02/2014 14:27,53.17
14/02/2014 14:27,44.632
14/02/2014 14:27,43.282
14/02/2014 14:27,53.192
14/02/2014 14:27,45.516
14/02/2014 14:27,47.23
14/02/2014 14:27,46.408
14/02/2014 14:27,40.118
14/02/2014 14:27,52.536
14/02/2014 14:27,45.564
14/02/2014 14:27,43.908
14/02/2014 14:27,48.058
14/02/2014 14:27,45.4
14/02/2014 14:27,45.564
14/02/2014 14:27,53.23
14/02/2014 14:27,46.972
14/02/2014 14:27,52.816
14/02/2014 14:27,49.062
14/02/2014 14:27,46.22
