,Run,Optimal,Load when Offloading,Load Difference
1,1,39.87,41.244,1.3740000000000023
2,2,39.554,49.74,10.186
3,3,38.522,44.742,6.219999999999999
4,4,39.648,46.31399999999999,6.66599999999999
5,5,39.554,44.876000000000005,5.322000000000003
6,6,39.788000000000004,44.83,5.0419999999999945
7,7,39.34,45.728,6.387999999999998
8,8,38.408,43.756,5.347999999999999
9,9,38.27,43.45,5.18
10,10,38.486,41.738,3.2520000000000024
11,11,38.428000000000004,47.3,8.871999999999993
12,12,38.404,48.826,10.421999999999997
13,13,37.275999999999996,42.63,5.354000000000006
14,14,38.564,42.724,4.159999999999997
15,15,34.766,41.501999999999995,6.735999999999997
16,16,35.31,37.672,2.3619999999999948
17,17,35.278,38.762,3.4840000000000018
18,18,35.596,38.316,2.720000000000006
19,19,35.376,38.052,2.676000000000002
20,20,36.525999999999996,38.85,2.324000000000005
